,MotionStatus,bndbox_angle,bndbox_xmax,bndbox_xmin,bndbox_ymax,bndbox_ymin,class,color,depth,difficult,filename,frame_id,from_video,height,id,occluded,score,velocity_x,velocity_y,width
22,null,36,1178,1156,364,310,car,null,3,1,flight1_MWIR_030064.png,50,0,1080,13,0,null,0,0,1920
23,null,38,980,958,520,491,car,null,3,1,flight1_MWIR_030064.png,50,0,1080,14,0,null,0,0,1920
24,null,23,896,857,537,517,car,null,3,1,flight1_MWIR_030064.png,50,0,1080,15,0,null,0,0,1920
25,null,15,1165,1124,566,546,car,null,3,1,flight1_MWIR_030064.png,50,0,1080,16,0,null,0,0,1920
26,null,19,1304,1266,623,603,car,null,3,1,flight1_MWIR_030064.png,50,0,1080,17,1,null,0,0,1920
27,null,326,797,745,624,547,car,null,3,2,flight1_MWIR_018239.png,18,0,1080,1,0,null,0,0,1920
28,null,325,746,698,639,565,car,null,3,2,flight1_MWIR_018239.png,18,0,1080,2,0,null,0,0,1920
29,null,339,952,844,701,662,car,null,3,2,flight1_MWIR_018239.png,18,0,1080,3,0,null,0,0,1920
30,null,345,1203,1097,618,582,car,null,3,1,flight1_MWIR_018239.png,18,0,1080,4,0,null,0,0,1920
31,null,327,1573,1520,409,330,car,null,3,1,flight1_MWIR_018239.png,18,0,1080,5,0,null,0,0,1920
32,null,330,1518,1461,422,334,car,null,3,1,flight1_MWIR_018239.png,18,0,1080,6,0,null,0,0,1920
33,null,0,1314,1274,381,297,car,null,3,1,flight1_MWIR_055756.png,124,0,1080,1,0,null,0,0,1920
34,null,0,1247,1212,155,81,car,null,3,1,flight1_MWIR_055756.png,124,0,1080,2,0,null,0,0,1920
35,null,0,1214,1174,162,78,car,null,3,1,flight1_MWIR_055756.png,124,0,1080,3,0,null,0,0,1920
36,null,353,1168,1136,158,74,car,null,3,1,flight1_MWIR_055756.png,124,0,1080,4,0,null,0,0,1920
37,null,328,1006,967,250,162,car,null,3,1,flight1_MWIR_055756.png,124,0,1080,5,0,null,0,0,1920
38,null,332,988,945,311,213,car,null,3,1,flight1_MWIR_055756.png,124,0,1080,6,0,null,0,0,1920
39,null,332,707,669,375,291,car,null,3,1,flight1_MWIR_055756.png,124,0,1080,7,0,null,0,0,1920
40,null,329,655,625,229,155,car,null,3,1,flight1_MWIR_055756.png,124,0,1080,8,0,null,0,0,1920
41,null,0,486,450,297,202,car,null,3,1,flight1_MWIR_055756.png,124,0,1080,9,0,null,0,0,1920
42,null,0,430,389,294,202,car,null,3,1,flight1_MWIR_055756.png,124,0,1080,10,0,null,0,0,1920
43,null,0,533,476,62,28,car,null,3,1,flight1_MWIR_055756.png,124,0,1080,11,2,null,0,0,1920
44,null,0,901,830,50,25,car,null,3,1,flight1_MWIR_055756.png,124,0,1080,12,2,null,0,0,1920
45,null,0,1137,1064,430,379,truck,null,3,1,flight1_MWIR_011140.png,12,0,1080,1,2,null,0,0,1920
46,null,0,1117,1044,394,354,truck,null,3,1,flight1_MWIR_011140.png,12,0,1080,2,2,null,0,0,1920
47,null,60,980,929,505,410,truck,null,3,1,flight1_MWIR_011140.png,12,0,1080,3,0,null,0,0,1920
48,null,0,991,949,560,491,truck,null,3,1,flight1_MWIR_011140.png,12,0,1080,4,0,null,0,0,1920
49,null,0,1046,992,559,489,truck,null,3,1,flight1_MWIR_011140.png,12,0,1080,5,0,null,0,0,1920
50,null,0,1076,1027,554,485,truck,null,3,1,flight1_MWIR_011140.png,12,0,1080,6,0,null,0,0,1920
51,null,0,1098,1059,522,470,truck,null,3,1,flight1_MWIR_011140.png,12,0,1080,7,0,null,0,0,1920
52,null,0,1145,1091,541,469,truck,null,3,1,flight1_MWIR_011140.png,12,0,1080,8,0,null,0,0,1920
53,null,0,1177,1141,529,462,truck,null,3,1,flight1_MWIR_011140.png,12,0,1080,9,0,null,0,0,1920
54,null,0,1113,1060,600,528,truck,null,3,1,flight1_MWIR_011140.png,12,0,1080,10,0,null,0,0,1920
55,null,0,1151,1094,602,521,truck,null,3,1,flight1_MWIR_011140.png,12,0,1080,11,0,null,0,0,1920
56,null,0,1403,1370,612,523,truck,null,3,1,flight1_MWIR_011140.png,12,0,1080,12,0,null,0,0,1920
57,null,0,1364,1340,572,541,car,null,3,1,flight1_MWIR_011140.png,12,0,1080,13,0,null,0,0,1920
58,null,0,1339,1316,574,543,car,null,3,1,flight1_MWIR_011140.png,12,0,1080,14,0,null,0,0,1920
59,null,0,1314,1290,586,555,car,null,3,1,flight1_MWIR_011140.png,12,0,1080,15,0,null,0,0,1920
60,null,0,1290,1267,592,568,car,null,3,1,flight1_MWIR_011140.png,12,0,1080,16,0,null,0,0,1920
61,null,0,1263,1239,599,571,car,null,3,1,flight1_MWIR_011140.png,12,0,1080,17,0,null,0,0,1920
62,null,355,1429,1365,421,392,car,null,3,1,flight1_MWIR_011140.png,12,0,1080,18,0,null,0,0,1920
63,null,339,1548,1501,731,705,car,null,3,1,flight1_MWIR_011140.png,12,0,1080,19,0,null,0,0,1920
64,null,341,1473,1422,753,729,car,null,3,1,flight1_MWIR_011140.png,12,0,1080,20,0,null,0,0,1920
65,null,59,500,476,94,52,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,1,0,null,0,0,1920
66,null,327,661,640,183,149,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,2,0,null,0,0,1920
67,null,310,623,590,233,153,truck,null,3,1,flight1_MWIR_054163.png,67,0,1080,3,0,null,0,0,1920
68,null,337,650,604,262,241,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,4,0,null,0,0,1920
69,null,22,647,619,292,271,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,5,2,null,0,0,1920
70,null,326,934,884,329,304,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,6,0,null,0,0,1920
71,null,0,939,892,439,415,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,7,0,null,0,0,1920
72,null,0,910,865,464,442,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,8,0,null,0,0,1920
73,null,315,687,642,485,463,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,9,0,null,0,0,1920
74,null,0,623,601,529,501,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,10,0,null,0,0,1920
75,null,19,886,843,557,535,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,11,0,null,0,0,1920
76,null,39,1084,1063,412,379,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,12,0,null,0,0,1920
77,null,35,1044,1020,456,420,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,13,0,null,0,0,1920
78,null,33,1009,986,501,470,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,14,0,null,0,0,1920
79,null,25,983,962,540,504,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,15,0,null,0,0,1920
80,null,19,969,948,573,540,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,16,0,null,0,0,1920
81,null,0,956,931,604,566,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,17,0,null,0,0,1920
82,null,0,944,926,643,612,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,18,0,null,0,0,1920
83,null,0,938,919,672,639,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,19,0,null,0,0,1920
84,null,0,913,887,673,626,truck,null,3,1,flight1_MWIR_054163.png,67,0,1080,20,0,null,0,0,1920
85,null,10,924,892,631,550,bus,null,3,1,flight1_MWIR_054163.png,67,0,1080,21,0,null,0,0,1920
86,null,0,1103,1072,569,517,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,22,0,null,0,0,1920
87,null,343,1161,1118,621,602,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,23,0,null,0,0,1920
88,null,337,1206,1161,630,612,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,24,0,null,0,0,1920
89,null,340,1459,1417,528,507,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,25,0,null,0,0,1920
90,null,335,1451,1402,516,496,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,26,0,null,0,0,1920
91,null,343,892,841,772,753,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,27,0,null,0,0,1920
92,null,341,899,773,756,726,bus,null,3,1,flight1_MWIR_054163.png,67,0,1080,28,0,null,0,0,1920
93,null,336,818,772,804,783,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,29,0,null,0,0,1920
94,null,339,757,710,825,805,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,30,0,null,0,0,1920
95,null,334,687,638,857,837,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,31,0,null,0,0,1920
96,null,0,901,881,838,806,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,32,0,null,0,0,1920
97,null,0,877,856,846,815,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,33,0,null,0,0,1920
98,null,0,853,831,855,827,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,34,0,null,0,0,1920
99,null,0,825,802,867,840,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,35,0,null,0,0,1920
100,null,0,1102,1081,876,846,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,36,0,null,0,0,1920
101,null,0,1209,1172,876,853,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,37,0,null,0,0,1920
102,null,345,1183,1131,860,837,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,38,0,null,0,0,1920
103,null,327,1126,1104,593,564,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,39,0,null,0,0,1920
104,null,0,1038,1014,579,551,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,40,0,null,0,0,1920
105,null,43,1197,1173,344,309,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,41,0,null,0,0,1920
106,null,27,1583,1541,318,295,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,42,0,null,0,0,1920
107,null,336,917,806,813,776,truck,null,3,1,flight1_MWIR_054163.png,67,0,1080,43,0,null,0,0,1920
108,null,50,351,332,308,265,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,44,2,null,0,0,1920
109,null,322,416,348,317,276,truck,null,3,1,flight1_MWIR_054163.png,67,0,1080,45,0,null,0,0,1920
110,null,0,907,860,482,463,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,46,0,null,0,0,1920
111,null,332,549,502,888,865,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,47,0,null,0,0,1920
112,null,332,1501,1454,85,62,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,48,0,null,0,0,1920
113,null,52,1001,978,391,355,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,49,0,null,0,0,1920
114,null,43,970,947,406,366,car,null,3,1,flight1_MWIR_054163.png,67,0,1080,50,0,null,0,0,1920
115,null,326,753,711,662,596,car,null,3,2,flight1_MWIR_018233.png,13,0,1080,1,0,null,0,0,1920
116,null,327,799,755,648,574,car,null,3,2,flight1_MWIR_018233.png,13,0,1080,2,0,null,0,0,1920
117,null,342,957,842,729,682,car,null,3,2,flight1_MWIR_018233.png,13,0,1080,3,0,null,0,0,1920
118,null,341,1188,1104,645,607,car,null,3,1,flight1_MWIR_018233.png,13,0,1080,4,0,null,0,0,1920
119,null,332,1576,1531,440,361,car,null,3,1,flight1_MWIR_018233.png,13,0,1080,5,0,null,0,0,1920
120,null,331,1519,1465,452,360,car,null,3,1,flight1_MWIR_018233.png,13,0,1080,6,0,null,0,0,1920
121,null,321,1403,1382,325,291,car,null,3,1,flight1_MWIR_030075.png,61,0,1080,1,0,null,0,0,1920
122,null,319,1377,1354,333,296,car,null,3,1,flight1_MWIR_030075.png,61,0,1080,2,0,null,0,0,1920
123,null,310,1356,1332,339,300,car,null,3,1,flight1_MWIR_030075.png,61,0,1080,3,0,null,0,0,1920
124,null,312,1345,1326,348,309,car,null,3,1,flight1_MWIR_030075.png,61,0,1080,4,0,null,0,0,1920
125,null,305,1331,1311,359,319,car,null,3,1,flight1_MWIR_030075.png,61,0,1080,5,0,null,0,0,1920
126,null,310,1318,1298,367,328,car,null,3,1,flight1_MWIR_030075.png,61,0,1080,6,0,null,0,0,1920
127,null,303,1302,1280,379,336,car,null,3,1,flight1_MWIR_030075.png,61,0,1080,7,0,null,0,0,1920
128,null,303,1293,1269,390,349,car,null,3,1,flight1_MWIR_030075.png,61,0,1080,8,0,null,0,0,1920
129,null,294,1272,1250,409,368,car,null,3,1,flight1_MWIR_030075.png,61,0,1080,9,0,null,0,0,1920
130,null,45,1343,1323,396,366,car,null,3,1,flight1_MWIR_030075.png,61,0,1080,10,0,null,0,0,1920
131,null,46,1503,1480,514,482,car,null,3,1,flight1_MWIR_030075.png,61,0,1080,11,0,null,0,0,1920
132,null,49,1435,1408,132,92,car,null,3,1,flight1_MWIR_030075.png,61,0,1080,12,0,null,0,0,1920
133,null,36,1165,1143,384,330,car,null,3,1,flight1_MWIR_030075.png,61,0,1080,13,0,null,0,0,1920
134,null,38,979,957,516,487,car,null,3,1,flight1_MWIR_030075.png,61,0,1080,14,0,null,0,0,1920
135,null,23,895,856,537,517,car,null,3,1,flight1_MWIR_030075.png,61,0,1080,15,0,null,0,0,1920
136,null,15,1144,1103,561,541,car,null,3,1,flight1_MWIR_030075.png,61,0,1080,16,0,null,0,0,1920
137,null,19,1229,1191,604,584,car,null,3,1,flight1_MWIR_030075.png,61,0,1080,17,1,null,0,0,1920
138,null,59,454,430,92,50,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,1,0,null,0,0,1920
139,null,327,631,609,182,148,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,2,0,null,0,0,1920
140,null,310,584,551,231,152,truck,null,3,1,flight1_MWIR_054199.png,79,0,1080,3,0,null,0,0,1920
141,null,337,616,574,264,243,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,4,0,null,0,0,1920
142,null,22,624,596,293,272,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,5,2,null,0,0,1920
143,null,326,915,865,326,301,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,6,0,null,0,0,1920
144,null,0,939,892,439,415,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,7,0,null,0,0,1920
145,null,0,910,865,464,442,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,8,0,null,0,0,1920
146,null,315,674,629,491,469,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,9,0,null,0,0,1920
147,null,0,612,590,534,506,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,10,0,null,0,0,1920
148,null,19,886,843,557,535,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,11,0,null,0,0,1920
149,null,39,1070,1050,415,377,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,12,0,null,0,0,1920
150,null,35,1038,1015,455,418,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,13,0,null,0,0,1920
151,null,33,1009,986,501,470,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,14,0,null,0,0,1920
152,null,25,983,962,540,504,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,15,0,null,0,0,1920
153,null,19,969,948,573,540,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,16,0,null,0,0,1920
154,null,0,960,935,608,570,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,17,0,null,0,0,1920
155,null,0,949,931,644,613,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,18,0,null,0,0,1920
156,null,0,943,924,672,639,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,19,0,null,0,0,1920
157,null,0,913,887,673,626,truck,null,3,1,flight1_MWIR_054199.png,79,0,1080,20,0,null,0,0,1920
158,null,10,924,892,631,550,bus,null,3,1,flight1_MWIR_054199.png,79,0,1080,21,0,null,0,0,1920
159,null,0,1103,1072,569,517,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,22,0,null,0,0,1920
160,null,2,1097,1054,626,606,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,23,0,null,0,0,1920
161,null,336,1069,1021,684,666,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,24,0,null,0,0,1920
162,null,340,1356,1315,568,547,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,25,0,null,0,0,1920
163,null,335,1348,1299,555,535,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,26,0,null,0,0,1920
164,null,343,899,848,776,757,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,27,0,null,0,0,1920
165,null,341,731,605,819,789,bus,null,3,1,flight1_MWIR_054199.png,79,0,1080,28,0,null,0,0,1920
166,null,336,828,783,810,789,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,29,0,null,0,0,1920
167,null,339,767,720,834,814,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,30,0,null,0,0,1920
168,null,334,697,648,867,847,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,31,0,null,0,0,1920
169,null,0,918,898,845,813,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,32,0,null,0,0,1920
170,null,0,892,871,850,819,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,33,0,null,0,0,1920
171,null,0,867,845,864,836,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,34,0,null,0,0,1920
172,null,0,841,818,872,845,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,35,0,null,0,0,1920
173,null,0,1127,1106,881,851,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,36,0,null,0,0,1920
174,null,0,1238,1201,879,856,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,37,0,null,0,0,1920
175,null,348,1207,1155,866,843,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,38,0,null,0,0,1920
176,null,327,1125,1103,593,564,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,39,0,null,0,0,1920
177,null,0,1058,1029,526,492,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,40,0,null,0,0,1920
178,null,56,1269,1243,270,234,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,41,0,null,0,0,1920
179,null,27,1584,1542,302,278,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,42,0,null,0,0,1920
180,null,336,938,816,816,778,truck,null,3,1,flight1_MWIR_054199.png,79,0,1080,43,0,null,0,0,1920
181,null,0,377,319,326,280,truck,null,3,1,flight1_MWIR_054199.png,79,0,1080,44,0,null,0,0,1920
182,null,0,897,851,483,462,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,45,0,null,0,0,1920
183,null,44,991,968,397,350,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,46,0,null,0,0,1920
184,null,46,959,934,403,363,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,47,0,null,0,0,1920
185,null,324,1373,1328,142,117,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,48,0,null,0,0,1920
186,null,333,1196,1144,448,421,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,49,0,null,0,0,1920
187,null,338,1529,1478,505,481,car,null,3,0,flight1_MWIR_054199.png,79,0,1080,50,0,null,0,0,1920
188,null,333,1548,1497,473,450,car,null,3,0,flight1_MWIR_054199.png,79,0,1080,51,0,null,0,0,1920
189,null,329,423,371,965,943,car,null,3,1,flight1_MWIR_054199.png,79,0,1080,52,0,null,0,0,1920
190,null,36,606,574,209,152,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,1,0,null,0,0,1920
191,null,0,784,725,332,298,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,2,0,null,0,0,1920
192,null,0,793,764,254,200,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,3,0,null,0,0,1920
193,null,0,764,731,278,227,car,null,3,1,flight1_MWIR_054659.png,91,0,1080,4,0,null,0,0,1920
194,null,0,775,714,377,346,car,null,3,1,flight1_MWIR_054659.png,91,0,1080,5,0,null,0,0,1920
195,null,51,771,739,416,364,car,null,3,1,flight1_MWIR_054659.png,91,0,1080,6,0,null,0,0,1920
196,null,0,840,788,502,475,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,7,0,null,0,0,1920
197,null,28,466,437,418,373,car,null,3,1,flight1_MWIR_054659.png,91,0,1080,8,0,null,0,0,1920
198,null,0,444,414,506,458,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,9,0,null,0,0,1920
199,null,339,418,389,571,528,car,null,3,1,flight1_MWIR_054659.png,91,0,1080,10,0,null,0,0,1920
200,null,17,935,904,216,161,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,11,0,null,0,0,1920
201,null,0,931,903,273,228,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,12,0,null,0,0,1920
202,null,0,930,909,331,287,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,13,0,null,0,0,1920
203,null,0,938,910,388,344,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,14,0,null,0,0,1920
204,null,0,900,875,436,394,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,15,0,null,0,0,1920
205,null,347,950,921,452,406,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,16,0,null,0,0,1920
206,null,346,910,883,489,446,car,null,3,1,flight1_MWIR_054659.png,91,0,1080,17,0,null,0,0,1920
207,null,346,969,941,501,456,car,null,3,1,flight1_MWIR_054659.png,91,0,1080,18,0,null,0,0,1920
208,null,343,1007,981,344,301,car,null,3,1,flight1_MWIR_054659.png,91,0,1080,19,0,null,0,0,1920
209,null,0,996,971,188,152,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,20,0,null,0,0,1920
210,null,314,1159,1105,245,217,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,21,0,null,0,0,1920
211,null,316,1126,1070,241,212,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,22,0,null,0,0,1920
212,null,338,1121,1087,426,358,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,23,0,null,0,0,1920
213,null,18,1196,1149,437,410,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,24,0,null,0,0,1920
214,null,329,994,965,564,512,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,25,0,null,0,0,1920
215,null,330,957,909,613,497,bus,null,3,0,flight1_MWIR_054659.png,91,0,1080,26,0,null,0,0,1920
216,null,339,1013,981,694,640,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,27,0,null,0,0,1920
217,null,5,1122,1075,638,614,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,28,0,null,0,0,1920
218,null,321,1060,996,772,742,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,29,0,null,0,0,1920
219,null,325,993,933,830,803,car,null,3,1,flight1_MWIR_054659.png,91,0,1080,30,0,null,0,0,1920
220,null,319,930,869,889,864,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,31,0,null,0,0,1920
221,null,315,873,816,948,918,car,null,3,1,flight1_MWIR_054659.png,91,0,1080,32,0,null,0,0,1920
222,null,321,1138,1111,837,792,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,33,0,null,0,0,1920
223,null,322,1114,1084,860,814,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,34,0,null,0,0,1920
224,null,330,1088,1056,884,840,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,35,0,null,0,0,1920
225,null,328,1060,1032,903,862,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,36,0,null,0,0,1920
226,null,336,1136,1109,982,949,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,37,2,null,0,0,1920
227,null,331,1107,1079,1007,972,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,38,2,null,0,0,1920
228,null,0,1601,1569,772,737,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,39,1,null,0,0,1920
229,null,0,1601,1572,715,674,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,40,1,null,0,0,1920
230,null,321,1575,1510,760,728,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,41,0,null,0,0,1920
231,null,324,1472,1442,806,762,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,42,0,null,0,0,1920
232,null,341,1264,1206,596,565,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,43,0,null,0,0,1920
233,null,47,1560,1532,524,469,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,44,0,null,0,0,1920
234,null,317,1589,1532,240,209,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,45,0,null,0,0,1920
235,null,321,1524,1469,294,266,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,46,0,null,0,0,1920
236,null,320,1456,1400,359,329,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,47,0,null,0,0,1920
237,null,321,1402,1346,401,372,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,48,0,null,0,0,1920
238,null,319,1354,1189,498,423,bus,null,3,0,flight1_MWIR_054659.png,91,0,1080,49,0,null,0,0,1920
239,null,320,1123,995,821,764,truck,null,3,0,flight1_MWIR_054659.png,91,0,1080,50,0,null,0,0,1920
240,null,0,1602,1568,401,341,car,null,3,0,flight1_MWIR_054659.png,91,0,1080,51,0,null,0,0,1920
